803239820-00;Athos Q Velit 
234487624-00;Matheus G Santos
546626713-00;Wernen R Costa
159156593-00;Athos O Freire
448418186-00;Luiz Henrique E Pereira
861934183-00;Victor Hugo N Sathler
721694326-00;Douglas E Pacheco 
136038483-00;Marcus I Pacheco 
735953263-00;Ítalo Q Arruda
162495927-00;Luis Paulo E Diniz
235348689-00;Rafael K Gabriel
751083489-00;Isadora Q Sathler
357015595-00;Ana Luiza U de Castro 
375784337-00;Breno I Villani
266630530-00;Daniela K Souza 
164600092-00;Ian O Silvino 
659796507-00;Caio F Oliveira
203912515-00;Victor Henrique Y Arruda
298532957-00;Guilherme A Gomes 
205856347-00;Caio I Candido
762667158-00;Felipe N Heredia 
779116647-00;Willian Y de Jesus
467803599-00;Guilherme M Guimarães
548707729-00;Pedro H Vasconcelos
228685229-00;Mateus V Gomes 
830355020-00;Bruno X Abdalla
242026872-00;Douglas J Castilho 
426063437-00;Nicole N Abdalla
285221770-00;Rafael W Arruda
719430581-00;Caio C Vasconcelos
671813166-00;Yuske S Oliveira
621211157-00;Victor Hugo S Santos
820722740-00;Isadora U Sathler
170602232-00;Mariana K Rodrigues 
458417460-00;Guilherme N de Castro 
203266415-00;Victor Henrique H Araujo
324100217-00;Ana Luiza W Barbosa 
625447169-00;Patryck H Vasconcelos
211654836-00;Alex C da Silva
844984719-00;Mariana K Guimarães
822793996-00;Luciano W de Jesus
815975079-00;Alan N Villani
800516591-00;Luis Paulo V Duarte de Carvalho
267761234-00;Ana Luiza Y Maciel
506047537-00;Isadora G Carvalho
445092848-00;Breno Q Arruda
813619107-00;Felipe R Carvalho
163442702-00;Victor Hugo I Miranda
153746993-00;Victor Henrique P Costa
807177297-00;Patryck S Silvino 
301008536-00;Filipe N de Castro 
708033015-00;Rodrigo M Pacheco 
849684900-00;Vinicius D Guimarães
495369956-00;Luis Paulo L Santos
525657622-00;Luís Otávio I de Jesus
862367147-00;Yuske V Gomes 
161269131-00;Caio J Pacheco 
136766340-00;Pedro G Maciel
284469786-00;Alan S Guimarães
127095685-00;Alexander V Duarte de Carvalho
268755716-00;Luís Otávio L Freire
145581932-00;Guilherme V Duarte de Carvalho
584966653-00;Ítalo L Arruda
413763332-00;Marcus F Guimarães
596115173-00;Marcus N Castilho 
375978180-00;Lucas B Maciel
860224255-00;Mariana V Barbosa 
345060856-00;Guilherme K Massula
552881287-00;Vinicius K da Silva
513602132-00;Daniela M Furtado 
164723449-00;Mateus E Velit 
368030705-00;Pedro U da Silva
240364205-00;Douglas W Candido
360675364-00;Isadora O de Jesus
249703794-00;Ian Y Carvalho
845542190-00;Ana Luiza W de Jesus
368312769-00;Willian B Pereira
267586363-00;Pedro R Villani
812368544-00;Isadora X Santos
487611131-00;Guilherme W da Silva
412218450-00;Mariana Q Furtado 
181261911-00;Caio B da Silva
629673593-00;Luís Otávio J Gabriel
120992097-00;Caio Z Pacheco 
524617118-00;Matheus Z Vasconcelos
393010037-00;Luciano R Villani
621033524-00;Luciano B de Castro 
156201412-00;Athos P Duarte de Carvalho
714263983-00;Mariana O Arruda
805366122-00;Felipe K Abdalla
468280343-00;Ana Luiza L Vasconcelos
610137445-00;Ian H Guimarães
401344009-00;Victor Henrique C Pereira
597581977-00;Willian Y Velit 
191311847-00;Alex Z de Paula
276554019-00;Ana Luiza J de Paiva
518421311-00;Willian T Santos
861569736-00;Mateus C da Silva
803128355-00;Rafael M Pereira
685457220-00;Mateus Q Guimarães
563979974-00;Ian K Silvino 
273626229-00;Rafael B Santos
759050215-00;Rodrigo F Miranda
747909916-00;Ítalo E Silvino 
344484221-00;Alan Q Bertolini
450198880-00;Ian K Magalhães
837633468-00;Guilherme Henrique O Sathler
838196972-00;Ian K Souza 
247247216-00;Victor Henrique G Gabriel
218455734-00;Victor Hugo X Diniz
546753304-00;Alex S da Silva
217156108-00;Joao Victor I Heredia 
115877185-00;Ian R de Paula
119832852-00;Nicole Z Duarte de Carvalho
557076331-00;Ítalo D Duarte de Carvalho
395464630-00;Ana Luiza Y Gabriel
654856358-00;Alexander W Guimarães
565397877-00;Filipe P Vasconcelos
201556713-00;Patryck E Santos
108038522-00;Alan H Pacheco 
736426766-00;Yuske X Barbosa 
670406512-00;Joao Victor R Pereira
679645628-00;Victor Henrique G Bertolini
767351373-00;Felipe Z Sathler
299617558-00;Breno B Candido
742595758-00;Alex Y de Paiva
318427317-00;Lucas Z Santos
407974762-00;Lucas N Araujo
697865934-00;Luciano D de Paula
188635903-00;Ana Luiza B Oliveira
226633306-00;Patryck P Silvino 
836388057-00;Joao Victor R Maciel
526592605-00;Mariana Q Oliveira
841842664-00;Caio E Vasconcelos
736912288-00;Yuske X Santos
636453352-00;Victor Hugo V Carvalho
233581373-00;Victor Hugo E Duarte de Carvalho
427863874-00;Bruno K Duarte de Carvalho
404638710-00;Matheus R Pacheco 
542421076-00;Douglas U de Castro 
126349863-00;Alan B Barros
636036483-00;Luís Otávio E Maciel
446623751-00;Wernen V de Jesus
206296976-00;Guilherme Q Candido
607505753-00;Marcus C Diniz
397174125-00;Breno K Magalhães
212834048-00;Luiz Henrique O da Silva
238125111-00;Ítalo Q Santos
556707438-00;Rodrigo U Araujo
575082609-00;Patryck B Sathler
151541277-00;Matheus V de Paula
273125860-00;Victor Henrique M Oliveira
858930847-00;Marcus V Santos
414859719-00;Douglas N Magalhães
388789897-00;Ítalo N Diniz
564574238-00;Guilherme Henrique S Duarte de Carvalho
859396815-00;Felipe R Magalhães
690258161-00;Victor Henrique Z Barros
235111192-00;Vinicius U Rodrigues 
193862891-00;Luis Paulo C Carvalho
341803215-00;Ana Luiza K Pereira
834211770-00;Marcus R Souza 
729299952-00;Luiz Henrique S Costa
123298371-00;Vinicius E de Castro 
881587288-00;Joao Victor H Oliveira
867148844-00;Alex P de Paiva
831044237-00;Alex H Santos
550591470-00;Patryck U de Jesus
844167156-00;Guilherme B Cadar
317365442-00;Guilherme Q Heredia 
520062438-00;Breno J Vasconcelos
293822223-00;Lucas Z Pacheco 
293052699-00;Nicole H Guimarães
867187164-00;Alexander H Pereira
672219544-00;Luis Paulo L Candido
414959348-00;Willian C Pereira
742522490-00;Athos E Magalhães
455857652-00;Patryck I Santos
558130814-00;Ian T de Paiva
241361659-00;Felipe E Gabriel
311084140-00;Alexander G Furtado 
240828316-00;Alex Q de Castro 
160652265-00;Alexander S Carvalho
664777249-00;Filipe O Candido
395311870-00;Isadora Q Maciel
675947353-00;Filipe V Candido
540423455-00;Alex X Costa
313308921-00;Patryck Q de Jesus
611039609-00;Mateus I Candido
197642847-00;Victor Henrique D Candido
125568216-00;Luís Otávio E Heredia 
372504193-00;Douglas I Cadar
109192965-00;Matheus J Furtado 
119308096-00;Wernen U Maciel
873698668-00;Alan M Candido
182529837-00;Douglas D Miranda
776983149-00;Yuske C Rodrigues 
554281440-00;Athos V Barbosa 
194509145-00;Bruno P Pacheco 
116027775-00;Isadora N Magalhães
708348832-00;Ian T Silvino 
281211298-00;Alex J Costa
623933230-00;Ítalo E Duarte de Carvalho
730096379-00;Yuske F Bertolini
731838178-00;Victor Henrique S Silvino 
471321683-00;Nicole U Gomes 
490707682-00;Joao Victor L Carvalho
357010914-00;Guilherme Henrique M Castilho 
230520725-00;Pedro Q Bertolini
637406568-00;Bruno K Villani
756459828-00;Alexander B Costa
739693083-00;Ítalo A Furtado 
399680482-00;Alex Z Costa
407446627-00;Douglas C Souza 
696926154-00;Ian S Sathler
659066399-00;Filipe N Oliveira
377526060-00;Isadora X de Paiva
160522319-00;Pedro K Araujo
333331413-00;Breno I Santos
342094678-00;Pedro T Silvino 
171390196-00;Yuske B Arruda
589834054-00;Filipe E Rodrigues 
575580095-00;Marcus W Cadar
208278227-00;Lucas J Candido
296431852-00;Patryck L Bertolini
318128403-00;Norton J Silvino 
838324757-00;Willian U Miranda
842987936-00;Guilherme J de Paula
686595062-00;Yuske X de Paiva
499821888-00;Victor Hugo U Santos
421839772-00;Yuske I Abdalla
164673799-00;Douglas V Abdalla
536395733-00;Alexander W Maciel
184531878-00;Mariana E Massula
839058139-00;Victor Henrique O Pacheco 
301353929-00;Alexander Y de Paula
837866561-00;Patryck C Massula
848853878-00;Luiz Henrique C Massula
534789212-00;Alex O Magalhães
115703863-00;Rafael S Guimarães
280062000-00;Alexander X de Paula
249593717-00;Luciano S Miranda
250373611-00;Caio T de Paiva
192775241-00;Bruno X Barbosa 
171987971-00;Daniela O Maciel
603989407-00;Mariana Y da Silva
465778609-00;Mateus F Furtado 
219413560-00;Douglas L Arruda
814120964-00;Pedro B Bertolini
643094075-00;Joao Victor B Cadar
379612984-00;Norton T Oliveira
798331032-00;Alan Y da Silva
383215284-00;Daniela P Villani
839934311-00;Vinicius T Gomes 
594407711-00;Douglas Y Cadar
366572040-00;Bruno Y Santos
177542721-00;Luis Paulo M Duarte de Carvalho
733119833-00;Willian M de Paiva
409097640-00;Caio T Abdalla
493338591-00;Bruno J Souza 
700255180-00;Mariana J Castilho 
878506627-00;Luís Otávio P Gomes 
141682326-00;Victor Henrique L Silvino 
515694126-00;Rodrigo Z de Jesus
308553032-00;Bruno I Sathler
834175624-00;Luciano C Pereira
113178884-00;Marcus W Velit 
797806042-00;Nicole V de Castro 
597744789-00;Victor Hugo H Carvalho
442742710-00;Victor Hugo H Bertolini
479022815-00;Guilherme Henrique X Barros
661783334-00;Douglas H Vasconcelos
514047964-00;Caio R Abdalla
405539690-00;Alan U Barbosa 
709669321-00;Willian S Barbosa 
782799979-00;Caio B Arruda
458799605-00;Mariana S Velit 
861697151-00;Marcus M Araujo
641929097-00;Lucas R Pacheco 
109358530-00;Isadora C Maciel
287200631-00;Marcus H de Paiva
367328446-00;Luiz Henrique Z Magalhães
792316493-00;Mateus L Santos
863277009-00;Caio L Araujo
702124379-00;Felipe C de Jesus
491430502-00;Vinicius J Maciel
200171698-00;Felipe S da Silva
186858937-00;Luis Paulo Q Villani
694732882-00;Joao Victor I de Paiva
407069697-00;Rafael B Araujo
645889160-00;Luis Paulo O Arruda
359396577-00;Alexander M Diniz
109572617-00;Alan O Furtado 
121658485-00;Ana Luiza M Oliveira
270370535-00;Luis Paulo Y de Jesus
281401670-00;Luís Otávio E Araujo
236589010-00;Marcus P Velit 
407189937-00;Ana Luiza Z Magalhães
330681496-00;Bruno L Pereira
167681108-00;Athos N Pereira
629982713-00;Douglas K Miranda
468230685-00;Joao Victor U Cadar
540808011-00;Athos R Diniz
106907519-00;Marcus J Miranda
241804046-00;Luis Paulo Y Guimarães
848571117-00;Joao Victor I Duarte de Carvalho
783220838-00;Marcus I Massula
324029467-00;Marcus J Massula
587350013-00;Ian L Gabriel
428354298-00;Luciano X Velit 
761455072-00;Bruno J Villani
761551147-00;Willian O Rodrigues 
224522420-00;Victor Henrique I Villani
533770249-00;Pedro H Diniz
369495727-00;Patryck O Magalhães
700867666-00;Norton X de Paula
581495466-00;Marcus R Costa
662362403-00;Alexander N Araujo
863458160-00;Filipe R Rodrigues 
369132748-00;Pedro H de Jesus
117166138-00;Lucas U Sathler
358451628-00;Vinicius O Vasconcelos
458621206-00;Guilherme K Carvalho
773926242-00;Athos A Barbosa 
105894897-00;Victor Henrique Z de Castro 
279288954-00;Felipe J Carvalho
372470600-00;Rodrigo Z Barros
225087737-00;Victor Henrique F Bertolini
245736366-00;Alexander L Magalhães
278631936-00;Douglas N Cadar
153197155-00;Luís Otávio V Castilho 
661695827-00;Marcus S Santos
676841180-00;Marcus T Bertolini
230626805-00;Joao Victor X Heredia 
365318149-00;Rodrigo N Sathler
212375342-00;Rafael B Guimarães
327863822-00;Marcus P de Paiva
688534325-00;Luciano S Sathler
648725718-00;Patryck D Sathler
735640995-00;Alan W Silvino 
820565252-00;Lucas W Pacheco 
183827041-00;Luís Otávio G Velit 
795958990-00;Joao Victor F Carvalho
488550277-00;Ana Luiza D Barbosa 
479296592-00;Wernen D Vasconcelos
228205764-00;Vinicius V da Silva
541376660-00;Mariana F Massula
886834510-00;Norton Z Arruda
431747513-00;Guilherme B Souza 
772776244-00;Luís Otávio L Abdalla
840214780-00;Bruno E Magalhães
521938390-00;Isadora F de Jesus
708980959-00;Guilherme Henrique J Castilho 
151058065-00;Douglas X Massula
735819759-00;Douglas A Massula
375864426-00;Luis Paulo E Guimarães
689478620-00;Luiz Henrique R Duarte de Carvalho
392762970-00;Bruno S Sathler
210267514-00;Luis Paulo I de Castro 
178018977-00;Rodrigo H Gomes 
192289651-00;Ana Luiza J Castilho 
610004107-00;Luís Otávio Z Silvino 
317748003-00;Ana Luiza W Araujo
399751459-00;Alexander H Sathler
626881962-00;Rafael S Bertolini
480227517-00;Vinicius V Carvalho
678735199-00;Rodrigo Q Gabriel
463618516-00;Alexander M Silvino 
246123349-00;Filipe I Rodrigues 
812777744-00;Patryck Q Candido
178807961-00;Alex N Silvino 
364858887-00;Matheus F Bertolini
524001537-00;Athos K Diniz
372598675-00;Athos U Araujo
171453125-00;Filipe C Freire
435031499-00;Alan X de Paiva
113115668-00;Vinicius S Bertolini
197666436-00;Victor Hugo G Silvino 
842909757-00;Ana Luiza P Candido
212796739-00;Joao Victor H Guimarães
734626558-00;Norton M Araujo
100218197-00;Filipe K Castilho 
508898716-00;Nicole H Arruda
152817378-00;Wernen F Castilho 
490932687-00;Matheus A Magalhães
482347443-00;Luis Paulo F Souza 
402017199-00;Vinicius H Villani
459452679-00;Breno V de Paula
797515651-00;Filipe N de Paula
617659028-00;Bruno Z Carvalho
782710629-00;Vinicius O de Jesus
603671350-00;Victor Henrique K Bertolini
192062848-00;Wernen Q Oliveira
821382530-00;Luís Otávio C Castilho 
148806753-00;Guilherme P Sathler
271077795-00;Pedro S Velit 
771325461-00;Guilherme Henrique L Diniz
180821666-00;Douglas V Magalhães
752773869-00;Pedro C Diniz
596338140-00;Rafael X Gabriel
696858432-00;Filipe T Gabriel
535747804-00;Felipe W Freire
783919516-00;Athos G de Jesus
172704558-00;Bruno K Velit 
320723303-00;Daniela V Pacheco 
587991388-00;Victor Henrique F Cadar
864747909-00;Ítalo J Diniz
702133666-00;Isadora G Castilho 
831530889-00;Mateus P Oliveira
211098370-00;Alexander I da Silva
522971321-00;Luciano M Carvalho
707884418-00;Guilherme D Vasconcelos
292165642-00;Patryck R Miranda
484097823-00;Luiz Henrique E Souza 
312449871-00;Caio J Guimarães
273496758-00;Ítalo H Candido
193881476-00;Douglas Q Pereira
821375829-00;Rafael N Costa
396352936-00;Yuske V Gabriel
109027753-00;Rafael N Massula
768301529-00;Filipe Y Costa
126079182-00;Yuske B Furtado 
673352299-00;Rafael V Castilho 
827596376-00;Rodrigo K Freire
597530202-00;Mariana R Rodrigues 
725586817-00;Yuske L Freire
449672855-00;Ítalo W Oliveira
313016556-00;Ian H Diniz
288821381-00;Patryck M Pereira
105605383-00;Felipe J Sathler
355005036-00;Marcus E Freire
493197243-00;Patryck S Cadar
182652617-00;Matheus N Castilho 
428353488-00;Luis Paulo F Castilho 
633166864-00;Joao Victor Y da Silva
182650719-00;Guilherme Henrique D Carvalho
723710569-00;Joao Victor R de Paiva
645809996-00;Guilherme Henrique H Araujo
845613816-00;Caio I da Silva
865717086-00;Guilherme Henrique Z Souza 
810526019-00;Rodrigo T da Silva
567482599-00;Guilherme U Bertolini
272572996-00;Patryck O Cadar
298366886-00;Norton F Silvino 
260136092-00;Victor Hugo P Duarte de Carvalho
642341648-00;Luis Paulo V Costa
274607672-00;Luís Otávio P Furtado 
657774831-00;Filipe U Gomes 
529831077-00;Victor Henrique D Souza 
555692017-00;Matheus Q Carvalho
369962198-00;Marcus V Sathler
449217307-00;Rafael E Vasconcelos
617169224-00;Daniela U Arruda
421247221-00;Ian O Barros
843503612-00;Pedro S Miranda
398799261-00;Luís Otávio C Maciel
272100461-00;Felipe H Heredia 
777798325-00;Norton R Maciel
348108788-00;Rafael J Maciel
659353934-00;Luiz Henrique S Villani
833622266-00;Luciano B Magalhães
886469051-00;Luciano H Magalhães
808952510-00;Patryck E Barbosa 
629510088-00;Athos N Miranda
320131370-00;Vinicius U Gomes 
276531098-00;Luís Otávio P Candido
787830850-00;Patryck F Souza 
586650942-00;Lucas E Oliveira
400838562-00;Wernen K de Paula
426414527-00;Nicole I Arruda
521862064-00;Yuske R Barbosa 
292600346-00;Breno H de Jesus
205116532-00;Ian N Barros
155711912-00;Wernen M de Paula
131036800-00;Caio J Cadar
364026416-00;Bruno F Maciel
311950319-00;Yuske I Barbosa 
572906577-00;Felipe I Abdalla
205793995-00;Rafael K Villani
299223430-00;Luciano Z da Silva
217567204-00;Lucas X Rodrigues 
665124311-00;Ian G Miranda
651559332-00;Mateus S Barbosa 
495891056-00;Willian E Duarte de Carvalho
632941565-00;Guilherme Henrique A Diniz
297080308-00;Luís Otávio Y Barbosa 
283458441-00;Alexander U Araujo
673205869-00;Luis Paulo H Barros
378699962-00;Nicole V Abdalla
798139296-00;Lucas T Abdalla
172697617-00;Pedro B Abdalla
664023865-00;Breno W Sathler
211952383-00;Victor Henrique J Velit 
147295304-00;Alan E Rodrigues 
393924362-00;Luiz Henrique E de Paiva
332456780-00;Ana Luiza V Gabriel
804625322-00;Rafael H Oliveira
555840638-00;Luiz Henrique P Arruda
260084605-00;Nicole N Candido
875978879-00;Norton Y Gabriel
200937671-00;Vinicius O Gomes 
394316451-00;Yuske D Santos
593430169-00;Willian T Massula
704952174-00;Rafael W Pereira
748138189-00;Daniela C Santos
728165384-00;Athos R Heredia 
288564685-00;Vinicius I Massula
588047814-00;Nicole A Barros
656738997-00;Luiz Henrique I Santos
735379240-00;Mariana O Barros
269419042-00;Luciano G Diniz
385887756-00;Lucas F Massula
109779311-00;Victor Hugo S Pacheco 
568513578-00;Yuske Z Maciel
784562139-00;Patryck H Carvalho
655029822-00;Mariana R Furtado 
383280306-00;Rafael A Pereira
853340881-00;Breno Z Gomes 
741159444-00;Ana Luiza K Castilho 
259546446-00;Felipe X Silvino 
138064861-00;Matheus H Gabriel
478709003-00;Alex C Maciel
195606426-00;Guilherme P Bertolini
442472568-00;Norton Y Pereira
164218214-00;Athos Z Heredia 
252745724-00;Nicole Y Cadar
714305774-00;Yuske V Cadar
463998706-00;Guilherme E Pacheco 
116379937-00;Matheus W Pereira
764133014-00;Caio B Bertolini
227044866-00;Alexander Z Araujo
753325495-00;Luís Otávio S Pacheco 
327173330-00;Felipe T de Castro 
868179217-00;Patryck N Castilho 
307972831-00;Ian H Arruda
883969987-00;Caio F Araujo
512136878-00;Nicole R Araujo
863588424-00;Patryck L Gabriel
704776108-00;Luiz Henrique D Castilho 
713391223-00;Guilherme Henrique I Abdalla
476482960-00;Lucas K Barros
863490046-00;Luis Paulo J Maciel
366857427-00;Luiz Henrique V Barros
580802596-00;Luís Otávio W Carvalho
772704047-00;Rafael R Sathler
199705671-00;Rafael X Maciel
155574960-00;Alexander Z Barbosa 
551514846-00;Douglas M Araujo
638393335-00;Luís Otávio G de Paula
764726274-00;Ítalo N Abdalla
476774495-00;Pedro M Rodrigues 
527537876-00;Patryck G de Jesus
756599161-00;Mateus E Guimarães
316649892-00;Rafael D de Paula
265096987-00;Victor Henrique E Cadar
753278967-00;Luís Otávio F Pereira
800758576-00;Luís Otávio F Silvino 
127496646-00;Luís Otávio C de Castro 
175374966-00;Luciano Y Costa
882201651-00;Marcus W de Castro 
308038695-00;Matheus H Costa
776194198-00;Joao Victor U Rodrigues 
305365615-00;Alexander I Oliveira
446977303-00;Luiz Henrique Q Heredia 
864764081-00;Felipe P Barbosa 
599732232-00;Nicole M Souza 
750807089-00;Alan O de Castro 
400017417-00;Caio V de Castro 
692210766-00;Victor Hugo V Castilho 
820859922-00;Guilherme R Velit 
303691402-00;Alex U de Castro 
275399811-00;Yuske M Villani
155738533-00;Ian Z Duarte de Carvalho
758464653-00;Joao Victor Q Massula
556412977-00;Luís Otávio Q Massula
213654436-00;Breno F Cadar
335796899-00;Joao Victor G Barros
479225204-00;Filipe J Heredia 
803167457-00;Alexander Y Barbosa 
481376541-00;Caio M Vasconcelos
458178483-00;Nicole K Duarte de Carvalho
874296689-00;Ítalo B Silvino 
400629380-00;Guilherme Henrique V Villani
212672816-00;Guilherme C Maciel
470856765-00;Caio F de Castro 
304373208-00;Willian J Diniz
319412596-00;Rafael J Barros
470622539-00;Felipe V Santos
438180337-00;Daniela K Pereira
384888304-00;Norton O Arruda
775063038-00;Ian O Carvalho
575706448-00;Luis Paulo S Duarte de Carvalho
128393497-00;Alexander J Furtado 
529906551-00;Breno U Rodrigues 
632716874-00;Filipe M Sathler
752209405-00;Matheus A Barbosa 
681448868-00;Bruno T Diniz
217220879-00;Luciano K de Jesus
342547489-00;Joao Victor H Heredia 
511026481-00;Guilherme L Magalhães
541502043-00;Ian F Bertolini
739394683-00;Filipe N de Jesus
102909072-00;Douglas M Souza 
837180844-00;Mariana K Castilho 
315731521-00;Willian T Costa
406409486-00;Douglas V Freire
507544120-00;Alexander L Castilho 
124636773-00;Victor Henrique Q Furtado 
255369586-00;Alex R Vasconcelos
416888567-00;Pedro R Souza 
258638462-00;Filipe E Silvino 
657440596-00;Marcus P Magalhães
336158152-00;Willian B Villani
564268312-00;Victor Hugo O Oliveira
666406974-00;Ítalo E de Castro 
728020525-00;Luís Otávio W Oliveira
431783787-00;Matheus Q Costa
622269986-00;Joao Victor G Magalhães
367962493-00;Guilherme N de Jesus
154355335-00;Rodrigo D Villani
298425657-00;Guilherme Henrique N Guimarães
277641217-00;Ítalo B Furtado 
302047134-00;Mariana F de Castro 
711829440-00;Mateus U Arruda
245536336-00;Mateus A Costa
797486886-00;Rafael X Barbosa 
657795294-00;Pedro T Barbosa 
839852201-00;Rodrigo S Velit 
151577833-00;Rodrigo Z Massula
546481828-00;Victor Henrique F Costa
464178952-00;Vinicius V Diniz
161226798-00;Ítalo K Vasconcelos
253928286-00;Matheus X Pacheco 
645429561-00;Breno Z de Paiva
389811189-00;Rafael L Bertolini
662759005-00;Daniela W Carvalho
191321355-00;Luiz Henrique C Souza 
148073876-00;Bruno M Rodrigues 
344963137-00;Filipe H Gabriel
741495298-00;Ana Luiza B Guimarães
188969097-00;Rodrigo Y Miranda
666622059-00;Yuske L Miranda
355188972-00;Breno R Carvalho
396928615-00;Willian L Gabriel
683663036-00;Lucas Q Pacheco 
261659602-00;Marcus H de Jesus
608198273-00;Felipe R Arruda
406945744-00;Joao Victor E Vasconcelos
828550846-00;Mateus I da Silva
566441593-00;Ítalo J Candido
150946907-00;Victor Henrique P Rodrigues 
466428269-00;Rodrigo F Oliveira
849163553-00;Guilherme E de Castro 
416260667-00;Daniela R Magalhães
619202161-00;Mateus Q Santos
643017822-00;Daniela M Castilho 
737663537-00;Filipe G Maciel
612773697-00;Matheus A Velit 
415660453-00;Felipe I Souza 
525020008-00;Guilherme A Barros
534028689-00;Norton M Bertolini
462751643-00;Guilherme Henrique N de Paiva
345032625-00;Filipe T Duarte de Carvalho
848819635-00;Douglas L Duarte de Carvalho
440234154-00;Daniela X Magalhães
826173129-00;Breno E Costa
292684698-00;Lucas K Oliveira
619653264-00;Matheus Q Silvino 
361419073-00;Rodrigo V Freire
327669102-00;Alan U de Castro 
369414004-00;Mariana F Freire
183442420-00;Nicole T Castilho 
838181548-00;Norton R Vasconcelos
182674977-00;Matheus W Miranda
412392038-00;Marcus W Heredia 
110266131-00;Alexander E Barros
797371549-00;Alexander H Freire
346678936-00;Bruno B de Paiva
866838485-00;Wernen Q Miranda
210520469-00;Alan N Souza 
572194218-00;Douglas A Arruda
816877453-00;Felipe R Heredia 
464840539-00;Victor Hugo F Cadar
368874706-00;Victor Henrique E Velit 
133991849-00;Guilherme Henrique D Guimarães
652703001-00;Lucas H Rodrigues 
162217685-00;Ítalo B Massula
134978548-00;Alex G Gabriel
137405777-00;Alexander Q de Jesus
744924352-00;Luciano G Magalhães
557111566-00;Filipe N Castilho 
634150548-00;Victor Henrique O de Paiva
418564010-00;Guilherme Z Araujo
194783014-00;Mateus R Sathler
293909807-00;Rodrigo L Guimarães
104530379-00;Vinicius B Castilho 
127280326-00;Rafael J de Jesus
380482817-00;Alex I Massula
361572928-00;Ana Luiza P Gomes 
860887551-00;Wernen Y Diniz
721536861-00;Guilherme S Oliveira
598053085-00;Ian W Vasconcelos
475879048-00;Victor Henrique P Maciel
421038049-00;Victor Henrique L de Paula
559475879-00;Bruno L de Paula
677810602-00;Luís Otávio A Heredia 
776886699-00;Lucas F Miranda
120423695-00;Victor Henrique W de Castro 
122983110-00;Alan P Abdalla
364882584-00;Mariana V Arruda
289882450-00;Daniela H Santos
610491165-00;Luciano W Santos
139781697-00;Marcus G Heredia 
441939036-00;Rafael Z Gomes 
670312670-00;Guilherme I Abdalla
839699091-00;Guilherme B Furtado 
207453258-00;Ian L Santos
388044824-00;Bruno Q da Silva
464175989-00;Alexander Z Miranda
245464325-00;Marcus F Pacheco 
823536432-00;Marcus P Oliveira
749032143-00;Isadora Z Barros
520635816-00;Yuske X de Castro 
633567515-00;Guilherme V de Jesus
172068680-00;Breno E Arruda
680269893-00;Nicole G Duarte de Carvalho
503844556-00;Bruno I Arruda
776831539-00;Patryck E Silvino 
664548624-00;Willian B de Jesus
630997007-00;Mariana S Diniz
552000152-00;Lucas T Carvalho
831241641-00;Felipe T Rodrigues 
652880923-00;Mateus O Duarte de Carvalho
477459893-00;Yuske A Bertolini
444935432-00;Patryck V Heredia 
167005509-00;Marcus N Pacheco 
415234234-00;Filipe Z Massula
456020425-00;Joao Victor G Maciel
122330399-00;Marcus Z Oliveira
235345531-00;Nicole J Furtado 
320640580-00;Rodrigo Q Heredia 
817026054-00;Isadora D Massula
795664284-00;Nicole U Barros
885196529-00;Alan H Cadar
798511832-00;Victor Henrique A de Jesus
765461276-00;Ian V Rodrigues 
399831272-00;Luiz Henrique O Souza 
106926146-00;Luciano N Maciel
557360730-00;Joao Victor Y Magalhães
537637302-00;Breno X Diniz
540118487-00;Joao Victor E Sathler
675287593-00;Luis Paulo N Diniz
854468454-00;Lucas E Cadar
410915610-00;Yuske R Vasconcelos
672486758-00;Joao Victor L Miranda
664335114-00;Yuske Z Candido
412064386-00;Alex V Candido
123674817-00;Filipe R Maciel
482099718-00;Yuske I Gabriel
381787713-00;Nicole T Barbosa 
484417802-00;Luciano G Heredia 
246831955-00;Alexander S Oliveira
143573056-00;Vinicius Z Santos
569149078-00;Bruno X Gomes 
883188948-00;Guilherme F Pacheco 
480283968-00;Daniela S Pereira
414693593-00;Victor Hugo N Maciel
505340232-00;Felipe S Castilho 
882134062-00;Douglas W Souza 
256999702-00;Breno O Barros
330029342-00;Breno J Cadar
862284871-00;Nicole J Barros
702697808-00;Luiz Henrique X de Paiva
151788731-00;Daniela K da Silva
254707508-00;Nicole G de Paula
463576500-00;Mariana F Arruda
517285161-00;Marcus H Rodrigues 
267692536-00;Guilherme Henrique O Oliveira
351312733-00;Lucas B Castilho 
320977787-00;Caio Q Barros
585754835-00;Luciano X Sathler
123540176-00;Luciano T Carvalho
455682938-00;Luciano V da Silva
495746498-00;Yuske H Velit 
781315089-00;Matheus P Vasconcelos
750576479-00;Isadora W Souza 
631285652-00;Lucas I de Paula
869510123-00;Guilherme Henrique F Magalhães
768203722-00;Willian L Arruda
756003319-00;Luís Otávio O Vasconcelos
756568530-00;Willian O Araujo
602579997-00;Isadora U Maciel
491353702-00;Filipe W de Paiva
661235679-00;Alexander P Freire
542884398-00;Ítalo Y Velit 
370135790-00;Filipe D Miranda
835713957-00;Ítalo R Maciel
543245773-00;Ítalo G Cadar
468109320-00;Luís Otávio Y de Jesus
406357528-00;Ana Luiza E Barbosa 
272897209-00;Alan T Miranda
280141875-00;Isadora F Freire
858904649-00;Ítalo P Arruda
580736364-00;Pedro D Sathler
792114619-00;Willian A Souza 
